"","plot","subplot","species","climate","management","size_t0","size_t1","fl_spring_before","fl_spring_after","fl_fall","sl_spring_t0","sl_fall_t0","sl_spring_t1","transition","survival","fl_all","new_individual","year","kicker_col","treatment","spec_treat","ind_t0","flower_pr"
"95","1_1",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"96","1_1",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"97","1_1",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"98","1_1",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"99","1_1",6,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"108","1_1",7,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_7","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"109","1_1",7,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_7","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"110","1_1",7,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_7","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"111","1_1",7,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_7","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"112","1_1",7,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_7","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"117","1_1",8,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_8","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"118","1_1",8,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_8","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"119","1_1",8,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_8","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"120","1_1",8,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_8","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"129","1_3",1,"Bro_ere","ambient","grazing",24,75,2,0,NA,0,2,0,1,1,0,0,2018,"1_3_1","ambient_grazing","Bro_ere_ambient_grazing",1,0
"130","1_3",1,"Bro_ere","ambient","grazing",20,33.75,6,2,NA,0,2,0,1,1,2,0,2018,"1_3_1","ambient_grazing","Bro_ere_ambient_grazing",1,1
"131","1_3",1,"Bro_ere","ambient","grazing",NA,12.25,NA,NA,NA,0,2,0,1,0,0,1,2018,"1_3_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"132","1_3",1,"Bro_ere","ambient","grazing",NA,7.5,NA,NA,NA,0,2,0,1,0,0,1,2018,"1_3_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"133","1_3",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"134","1_3",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"135","1_3",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"136","1_3",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"137","1_3",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"138","1_3",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"139","1_3",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"140","1_3",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"152","1_3",2,"Bro_ere","ambient","grazing",60,60,5,3,NA,0,2,0,1,1,3,0,2018,"1_3_2","ambient_grazing","Bro_ere_ambient_grazing",1,1
"153","1_3",2,"Bro_ere","ambient","grazing",NA,24,NA,NA,NA,0,2,0,1,0,0,1,2018,"1_3_2","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"154","1_3",2,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_2","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"155","1_3",2,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_2","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"156","1_3",2,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_2","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"175","1_3",3,"Bro_ere","ambient","grazing",81,81,15,11,NA,0,6,12,1,1,11,0,2018,"1_3_3","ambient_grazing","Bro_ere_ambient_grazing",1,1
"176","1_3",3,"Bro_ere","ambient","grazing",1,30,1,1,NA,0,6,12,1,1,1,0,2018,"1_3_3","ambient_grazing","Bro_ere_ambient_grazing",1,1
"177","1_3",3,"Bro_ere","ambient","grazing",NA,56,NA,NA,NA,0,6,12,1,0,0,1,2018,"1_3_3","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"178","1_3",3,"Bro_ere","ambient","grazing",NA,6,NA,NA,NA,0,6,12,1,0,0,1,2018,"1_3_3","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"179","1_3",3,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_3","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"198","1_3",4,"Bro_ere","ambient","grazing",12,20,0,0,NA,0,0,0,1,1,0,0,2018,"1_3_4","ambient_grazing","Bro_ere_ambient_grazing",1,0
"199","1_3",4,"Bro_ere","ambient","grazing",12,12,0,0,NA,0,0,0,1,1,0,0,2018,"1_3_4","ambient_grazing","Bro_ere_ambient_grazing",1,0
"200","1_3",4,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_4","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"207","1_3",5,"Bro_ere","ambient","grazing",8,132,3,2,NA,0,0,0,1,1,2,0,2018,"1_3_5","ambient_grazing","Bro_ere_ambient_grazing",1,1
"208","1_3",5,"Bro_ere","ambient","grazing",NA,12,NA,NA,NA,0,0,0,1,0,0,1,2018,"1_3_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"209","1_3",5,"Bro_ere","ambient","grazing",NA,20,NA,NA,NA,0,0,0,1,0,0,1,2018,"1_3_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"210","1_3",5,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"221","1_3",6,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_6","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"222","1_3",6,"Bro_ere","ambient","grazing",12.5,NA,2,0,NA,0,0,0,1,0,0,0,2018,"1_3_6","ambient_grazing","Bro_ere_ambient_grazing",1,0
"223","1_3",6,"Bro_ere","ambient","grazing",NA,9,NA,NA,NA,0,0,0,1,0,0,1,2018,"1_3_6","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"227","1_3",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"228","1_3",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"229","1_3",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"230","1_3",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"231","1_3",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"232","1_3",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"238","1_3",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"239","1_3",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"240","1_3",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"241","1_3",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"242","1_3",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"243","1_3",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"244","1_3",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"245","1_3",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_3_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"252","10_1",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,1,1,1,0,0,0,2018,"10_1_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"253","10_1",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,1,1,1,0,0,0,2018,"10_1_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"254","10_1",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"255","10_1",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"256","10_1",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"257","10_1",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"258","10_1",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"259","10_1",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"260","10_1",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"261","10_1",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"262","10_1",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"263","10_1",1,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_1","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"285","10_1",2,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,2,0,1,0,0,0,2018,"10_1_2","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"286","10_1",2,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_2","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"287","10_1",2,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_2","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"288","10_1",2,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_2","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"289","10_1",2,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_2","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"290","10_1",2,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_2","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"304","10_1",3,"Bro_ere","ambient","grazing",81,100,10,3,NA,0,2,1,1,1,3,0,2018,"10_1_3","ambient_grazing","Bro_ere_ambient_grazing",1,1
"305","10_1",3,"Bro_ere","ambient","grazing",15,72,4,0,NA,0,2,1,1,1,0,0,2018,"10_1_3","ambient_grazing","Bro_ere_ambient_grazing",1,0
"306","10_1",3,"Bro_ere","ambient","grazing",0.25,30,0,0,NA,0,2,1,1,1,0,0,2018,"10_1_3","ambient_grazing","Bro_ere_ambient_grazing",1,0
"307","10_1",3,"Bro_ere","ambient","grazing",NA,1,NA,NA,NA,0,2,1,1,0,0,1,2018,"10_1_3","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"320","10_1",4,"Bro_ere","ambient","grazing",56,80,8,3,NA,0,0,6,1,1,3,0,2018,"10_1_4","ambient_grazing","Bro_ere_ambient_grazing",1,1
"321","10_1",4,"Bro_ere","ambient","grazing",30,80,5,2,NA,0,0,6,1,1,2,0,2018,"10_1_4","ambient_grazing","Bro_ere_ambient_grazing",1,1
"322","10_1",4,"Bro_ere","ambient","grazing",12,24,6,1,NA,0,0,6,1,1,1,0,2018,"10_1_4","ambient_grazing","Bro_ere_ambient_grazing",1,1
"323","10_1",4,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,6,1,0,0,0,2018,"10_1_4","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"324","10_1",4,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,6,1,0,0,0,2018,"10_1_4","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"325","10_1",4,"Bro_ere","ambient","grazing",NA,20,NA,NA,NA,0,0,6,1,0,0,1,2018,"10_1_4","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"326","10_1",4,"Bro_ere","ambient","grazing",NA,30,NA,NA,NA,0,0,6,1,0,0,1,2018,"10_1_4","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"336","10_1",5,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"337","10_1",5,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"338","10_1",5,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"339","10_1",5,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_5","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"349","10_1",6,"Bro_ere","ambient","grazing",56,36,8,3,NA,0,0,7,1,1,3,0,2018,"10_1_6","ambient_grazing","Bro_ere_ambient_grazing",1,1
"350","10_1",6,"Bro_ere","ambient","grazing",42,NA,6,0,NA,0,0,7,1,0,0,0,2018,"10_1_6","ambient_grazing","Bro_ere_ambient_grazing",1,0
"351","10_1",6,"Bro_ere","ambient","grazing",12,42,2,2,NA,0,0,7,1,1,2,0,2018,"10_1_6","ambient_grazing","Bro_ere_ambient_grazing",1,1
"352","10_1",6,"Bro_ere","ambient","grazing",12,72,2,2,NA,0,0,7,1,1,2,0,2018,"10_1_6","ambient_grazing","Bro_ere_ambient_grazing",1,1
"353","10_1",6,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_6","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"357","10_1",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"358","10_1",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"359","10_1",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"360","10_1",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"361","10_1",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"362","10_1",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"363","10_1",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"364","10_1",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"365","10_1",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"366","10_1",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"367","10_1",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"368","10_1",7,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_7","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"372","10_1",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"373","10_1",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"374","10_1",8,"Bro_ere","ambient","grazing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_1_8","ambient_grazing","Bro_ere_ambient_grazing",NA,0
"378","10_2",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,1,0,1,0,0,0,2018,"10_2_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"379","10_2",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_2_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"380","10_2",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_2_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"381","10_2",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_2_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"401","10_2",2,"Bro_ere","ambient","mowing",9,4,1,1,NA,0,0,2,1,1,1,0,2018,"10_2_2","ambient_mowing","Bro_ere_ambient_mowing",1,1
"402","10_2",2,"Bro_ere","ambient","mowing",6,NA,1,1,NA,0,0,2,1,0,1,0,2018,"10_2_2","ambient_mowing","Bro_ere_ambient_mowing",1,1
"403","10_2",2,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_2_2","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"404","10_2",2,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_2_2","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"405","10_2",2,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_2_2","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"406","10_2",2,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_2_2","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"407","10_2",2,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"10_2_2","ambient_mowing","Bro_ere_ambient_mowing",NA,0
